MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name
31,LAKSHADWEEP,000,LAKSHADWEEP,00000,LAKSHADWEEP,000000,LAKSHADWEEP
31,LAKSHADWEEP,587,Lakshadweep,00000,Lakshadweep,000000,Lakshadweep
31,LAKSHADWEEP,587,Lakshadweep,05620,Amini,000000,Amini
31,LAKSHADWEEP,587,Lakshadweep,05620,Amini,627030,Amini (CT)
31,LAKSHADWEEP,587,Lakshadweep,05621,Bitra,000000,Bitra
31,LAKSHADWEEP,587,Lakshadweep,05621,Bitra,627031,Bitra
31,LAKSHADWEEP,587,Lakshadweep,05622,Chetlat,000000,Chetlat
31,LAKSHADWEEP,587,Lakshadweep,05622,Chetlat,627032,Chetlat
31,LAKSHADWEEP,587,Lakshadweep,05623,Kiltan,000000,Kiltan
31,LAKSHADWEEP,587,Lakshadweep,05623,Kiltan,627033,Kiltan
31,LAKSHADWEEP,587,Lakshadweep,05624,Kadmat,000000,Kadmat
31,LAKSHADWEEP,587,Lakshadweep,05624,Kadmat,627034,Kadmat (CT)
31,LAKSHADWEEP,587,Lakshadweep,05625,Kavaratti,000000,Kavaratti
31,LAKSHADWEEP,587,Lakshadweep,05625,Kavaratti,627035,Pitti (Birds' Island)
31,LAKSHADWEEP,587,Lakshadweep,05625,Kavaratti,627036,Suheli Valiyakara
31,LAKSHADWEEP,587,Lakshadweep,05625,Kavaratti,627037,Suheli Cheriyakara
31,LAKSHADWEEP,587,Lakshadweep,05625,Kavaratti,627038,Kavaratti (CT)
31,LAKSHADWEEP,587,Lakshadweep,05626,Agatti,000000,Agatti
31,LAKSHADWEEP,587,Lakshadweep,05626,Agatti,627039,Tinnakara
31,LAKSHADWEEP,587,Lakshadweep,05626,Agatti,627040,Parali (I)
31,LAKSHADWEEP,587,Lakshadweep,05626,Agatti,627041,Parali (II)
31,LAKSHADWEEP,587,Lakshadweep,05626,Agatti,627042,Parali (III)
31,LAKSHADWEEP,587,Lakshadweep,05626,Agatti,627043,Bangaram
31,LAKSHADWEEP,587,Lakshadweep,05626,Agatti,627044,Agatti
31,LAKSHADWEEP,587,Lakshadweep,05626,Agatti,627045,Kalpitti
31,LAKSHADWEEP,587,Lakshadweep,05627,Andrott ,000000,Andrott 
31,LAKSHADWEEP,587,Lakshadweep,05627,Andrott ,627046,Andrott (CT)
31,LAKSHADWEEP,587,Lakshadweep,05628,Kalpeni,000000,Kalpeni
31,LAKSHADWEEP,587,Lakshadweep,05628,Kalpeni,627047,Cheriyam
31,LAKSHADWEEP,587,Lakshadweep,05628,Kalpeni,627048,Kodithala
31,LAKSHADWEEP,587,Lakshadweep,05628,Kalpeni,627049,Tilakkam (I)
31,LAKSHADWEEP,587,Lakshadweep,05628,Kalpeni,627050,Tilakkam (II)
31,LAKSHADWEEP,587,Lakshadweep,05628,Kalpeni,627051,Tilakkam (III)
31,LAKSHADWEEP,587,Lakshadweep,05628,Kalpeni,627052,Pitti (I)
31,LAKSHADWEEP,587,Lakshadweep,05628,Kalpeni,627053,Pitti (II)
31,LAKSHADWEEP,587,Lakshadweep,05628,Kalpeni,627054,Kalpeni (CT)
31,LAKSHADWEEP,587,Lakshadweep,05629,Minicoy,000000,Minicoy
31,LAKSHADWEEP,587,Lakshadweep,05629,Minicoy,627055,Viringili
31,LAKSHADWEEP,587,Lakshadweep,05629,Minicoy,627056,Minicoy (CT)
