MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name
19,WEST BENGAL,000,WEST BENGAL,00000,WEST BENGAL,000000,WEST BENGAL
19,WEST BENGAL,327,Darjiling ,00000,Darjiling ,000000,Darjiling 
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,000000,Darjeeling Pulbazar
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306145,Singalila Forest
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306146,Rimbick
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306147,Namla
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306148,Lodhama
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306149,Hatta
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306150,Dangia
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306151,Singbhumdera
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306152,Majua
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306153,Kankibong
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306154,Jhepi
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306155,Lamagaon
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306156,Relling
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306157,Kaijalia
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306158,Samalbong
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306159,Kolbong
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306160,Murmidong
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306161,Karmi
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306162,Goke
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306163,Bijanbari
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306164,Liza Hill Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306165,Barnesbeg Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306166,Singla Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306167,Rangli Forest
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306168,Banockburn Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306169,Phubsering Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306170,Rungneet Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306171,Pattabong Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306172,Patliabas Forest
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306173,Tukvar Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306174,Lebong Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306175,Soom Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306176,Sum Forest
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306177,Happy Valley Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306178,Arya Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306179,Rishihat Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306180,Rishihat Khasmahal
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306181,Barbatia Khasmahal
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306182,Bloomfield Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306183,Darjiling (P)
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306184,Alubari Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306185,Lebong & Mineral Spring Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306186,Pandam Tea Garden
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306187,Alubari Basty
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306188,Badamtam Tea Garden (CT)
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306189,Ging Tea Garden (CT)
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306190,Chongtong Tea Garden (CT)
19,WEST BENGAL,327,Darjiling ,02154,Darjeeling Pulbazar,306191,Singtam Tea Garden (CT)
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,000000,Rangli Rangliot
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306192,Kambal Tea Garden
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306193,Teesta Valley Forest
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306194,Lapchu Tea Garden
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306195,Peshok Tea Garden
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306196,Bara Mungwa
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306197,Chhota Mungwa
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306198,Takling Khasmahal
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306199,Soriang Khasmahal
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306200,Chegra Khasmahal
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306201,Kolbong Khasmahal
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306202,Rayak Khasmahal
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306203,Lingding Khasmahal
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306204,Hum Tukdah Khasmahal
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306205,Tukdah Forest
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306206,Lapchu Khasmahal
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306207,Singringtam
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306208,Manedara
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306209,Tukdah
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306210,Tukdh Tea Garden
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306211,Dawaipani
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306212,Pubong Khasmahal
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306213,Rangli Rangliot Tea Garden
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306214,Gielie Tea Garden
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306215,Teesta Valley Tea Garden
19,WEST BENGAL,327,Darjiling ,02155,Rangli Rangliot,306216,Pumong Tea Garden
